Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Михалюк,Юстина,Русланівна,Жінка,22.07.1960,Диригент,село Карлівка,"узвіз Соляний 6-й, буд. 956 кв. 95, Погребище, 53012",+380 20 982-53-16,sachenkoadam@example.org
Швачко,Одарка,Аврелійовна,Жінка,23.07.1992,Різноробочий,село Лисичанськ,"узвіз Аркадіївський, буд. 81, Гнівань, 21903",929 49 93,lesykkhoma@example.com
Ґоляш,Оксана,Мартинівна,Жінка,09.10.1960,Архітектор,хутір Гайворон,"проспект Аркаса Миколи, буд. 4 кв. 01, Баранівка, 26212",+380 62 191-69-45,qsamoilenko@example.com
Сіробаба,Єлисавета,Микитівна,Жінка,26.01.1940,Зоолог,місто Середина-Буда,"вулиця Короткий, буд. 558 кв. 5, Світловодськ, 35619",+380 (33) 407-28-31,kylymnyksvitlana@example.org
Олійник,Тетяна,Іванівна,Жінка,25.03.1948,Композитор,хутір Фастів,"площа Дубова, буд. 5 кв. 8, Болград, 68317",058 181 93 13,osemenchenko@example.com
Байрак,Ірена,Миколаївна,Жінка,16.06.1949,Біолог,село Дубляни,"провулок Парашутний, буд. 131, Корець, 81534",017 071-71-93,alevtyn51@example.net
Юрчишина,Юстина,Федорівна,Жінка,25.05.2003,Швачка,місто Добропілля,"проспект 13-та ст. Великого Фонтану пляж, буд. 6, Городище , 79766",+380 46 709-29-39,lvelychko@example.net
Вдовенко,Сніжана,Леонтіївна,Жінка,19.09.1987,Державний службовець,село Миколаївка ,"проспект Гаршина, буд. 2, Острог, 99606",425 89 64,ostapdemydenko@example.net
Сич,Любов,Прохорівна,Жінка,30.09.1982,Музичний редактор,селище Вуглегірськ,"проспект Лермонтовський 2-й, буд. 8 кв. 7, Почаїв, 04087",+380 52 578-61-83,zakharenkozlatoslava@example.com
Рябошапка,Мілена,Юстимівна,Жінка,26.05.1989,Слідчий,селище Севастополь,"провулок Літературна, буд. 5 кв. 948, Деражня, 99589",+380 36 633-15-27,ehavryshkevych@example.net
Носаченко,Розалія,Миколаївна,Жінка,26.11.2007,Агроном,селище Ясинувата,"площа Мічуріна, буд. 74, Феодосія, 16068",+380 76 786 20 25,iurchukmarusia@example.net
Михайлюк,Наталія,Альбертівна,Жінка,31.01.1987,Пекар,село Іршава,"узвіз Кропивницького, буд. 18, Жашків, 18849",074 968-25-53,iaremkonestor@example.net
Ватаманюк,Маруся,Ростиславівна,Жінка,08.05.1998,Патологоанатом,селище Бучач,"узвіз Сєченова, буд. 63 кв. 517, Корюківка, 37527",+380 42 414 90 92,qshevchenko@example.com
Девдюк,Ліза,Вікторівна,Жінка,03.08.1975,Економіст,село Балаклія,"набережна Лазурний 1-й, буд. 531, Ічня, 55742",896-39-19,ilienkohalyna@example.com
Тичина,Орина,Давидівна,Жінка,24.02.1986,Водій,село Глобине,"набережна Магнітогорський, буд. 316, Сєвєродонецьк, 41757",648 28 36,haidaianton@example.org
Самойленко,Ярослава,Сергіївна,Жінка,15.08.1964,Співак,село Червоносів,"шосе Кипарисний 1-й, буд. 06 кв. 73, Вишгород, 89386",+380 96 905-03-82,dashenkoolha@example.org
Прокопович,Клавдія,Геннадіївна,Жінка,12.08.1987,Намотувальник,село Бурштин ,"проспект Гвардійська, буд. 46 кв. 4, Снятин, 30047",320 28 62,romanhrechanyk@example.net
Власенко,Христина,Адамівна,Жінка,21.07.1992,Каскадер,хутір Світловодськ,"проспект Балківська, буд. 521 кв. 876, Стебник, 14079",+380 51 346 49 44,bmatiash@example.com
Дерегус,Святослава,Симонівна,Жінка,19.05.1995,Детектив,місто Нововолинськ,"шосе Академіка Сахарова, буд. 6, Сулимівка (Слов'янськ), 07070",+380 40 300-34-37,zvivcharenko@example.net
Бандура,Одарка,Борисівна,Жінка,18.04.1994,Астроном,село Овруч,"парк Шахтинський, буд. 1, Вінниця, 46304",+380 94 998-00-69,hukalbina@example.net
Павлик,Єлисавета,Георгіївна,Жінка,14.07.1992,Бібліограф,селище Зоринськ,"провулок Бугаївська, буд. 62, Берегове, 61113",043 170-89-62,alina15@example.net
Зінченко,Христина,Богуславівна,Жінка,07.09.1948,Електромонтер,село Старий Крим,"вулиця Шухевича Романа, буд. 34 кв. 683, Шахтарськ, 98113",+380 04 943-00-10,yizhak@example.net
Журавель,Лілія,Михайлівна,Жінка,14.04.1964,Слідчий,хутір Кам'янка-Бузька,"шосе Туристський, буд. 148, Старобільськ, 17350",044 218 33 93,tiurchuk@example.com
Величко,Єлисавета,Марківна,Жінка,26.05.1941,Локсмайстер,селище Яремче,"набережна Строганова, буд. 0 кв. 05, Монастирище, 06640",365-44-67,lizamakarenko@example.com
Макаренко,Одарка,Гаврилівна,Жінка,26.01.2007,Музичний редактор,хутір Городенка,"провулок Новикова, буд. 7, Прилуки, 13661",+380 82 703 34 73,thaidai@example.org
Хорішко,Віра,Аркадіївна,Жінка,26.05.1964,Водій,місто Тячів,"узвіз Краснослобідська, буд. 986, Корець, 33448",050 255-19-81,udankevych@example.org
Корпанюк,Маруся,Григоріївна,Жінка,18.04.1950,Реставратор,хутір Дружківка,"проспект Георгія Гамова, буд. 7 кв. 343, Мерефа, 50228",069 079-83-36,lysenkosymon@example.com
Вергун,Одарка,Опанасівна,Жінка,04.01.1963,Дерун,село Жовті Води,"проспект Кифоренка Бориса, буд. 30, Луганськ, 21329",554 11 79,olena65@example.net
Притула,Любов,Устимівна,Жінка,31.05.1966,Астроном,селище Родинське,"площа 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 632 кв. 0, Бердянськ, 86098",+380 83 273-02-21,volodymyraiashchenko@example.net
Ільченко,Марʼяна,Святославівна,Жінка,31.10.1968,Пекар,хутір Баштанка,"сквер Чернігівська, буд. 64, Чистякове, 18413",+380 06 145 48 73,khrystynakanivets@example.org
Василашко,Варвара,Остапівна,Жінка,06.05.1969,Фотограф,хутір Павлоград,"вулиця Нежданової, буд. 5, Хмільник, 45234",143 59 51,lduplii@example.net
Чорновіл,Ярина,Опанасівна,Жінка,26.07.2006,Біолог,селище Знам'янка,"проспект Посмітного, буд. 401 кв. 6, Долина , 93734",531-33-52,ieva16@example.org
Гунько,Ганна,Ярославівна,Жінка,30.05.1997,Парфюмер,хутір Новий Розділ,"проспект Садова 3-тя, буд. 9 кв. 77, Вараш, 90265",+380 27 253-81-66,iaroslavakaras@example.net
Гайдай,Ярина,Ростиславівна,Жінка,15.05.1944,Історик,село Конотоп,"площа Черепанових, буд. 140 кв. 5, Ківерці, 65780",+380 20 099-42-52,ybarabash@example.org
Верховинець,Амалія,Орестівна,Жінка,31.12.1994,Стропальник,селище Буринь,"сквер Східний, буд. 25, Узин, 70071",+380 62 327-05-78,leopoldkorolenko@example.org
Остапчук,Єва,Валентинівна,Жінка,23.02.2007,Менеджер,селище Сніжне,"провулок Грецька, буд. 20 кв. 048, Новоазовськ, 38349",+380 (17) 522-86-03,alemeshko@example.com
Яремко,Любов,Владиславівна,Жінка,20.06.1987,Конструктор,село Синельникове,"узвіз Мацієвської узвіз, буд. 8 кв. 81, Кам'янка-Бузька, 03039",+380 (52) 316-17-62,arsen30@example.com
Бабʼяк,Василина,Ігорівна,Жінка,20.12.1985,Фармацевт,місто Долина ,"сквер Цегельнозаводська, буд. 3 кв. 41, Бурштин , 76126",+380 42 600 53 24,varfolomiitkach@example.net
Батюк,Володимира,Стефанівна,Жінка,17.11.1990,Петрограф,хутір Красногорівка,"набережна Тополиний, буд. 06 кв. 9, Курахове, 16835",+380 94 688-24-62,ufurs@example.org
